date,meantempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2015/1/4,-14,-4,-6,-6,-11,-9,-12,1016,1022,1023,92,92,84,59,56,54,3,1,2,-13,-12,-13,-4,-6,-6,-16,-13,-18,1025,1026,1025,1010,1017,1019,0.76,0,0
2015/1/5,-9,-14,-4,-6,-19,-11,-9,1033,1016,1022,80,92,92,46,59,56,-12,3,1,-18,-13,-12,-16,-4,-6,-23,-16,-13,1043,1025,1026,1023,1010,1017,0.25,0.76,0
2015/1/6,-10,-9,-14,-4,-14,-19,-11,1032,1033,1016,80,80,92,53,46,59,-3,-12,3,-14,-18,-13,-8,-16,-4,-17,-23,-16,1043,1043,1025,1023,1023,1010,0,0.25,0.76
2015/1/7,-16,-10,-9,-14,-15,-14,-19,1036,1032,1033,80,80,80,54,53,46,-6,-3,-12,-14,-14,-18,-12,-8,-16,-18,-17,-23,1043,1043,1043,1027,1023,1023,0,0,0.25
2015/1/8,-7,-16,-10,-9,-22,-15,-14,1035,1036,1032,72,80,80,45,54,53,-12,-6,-3,-19,-14,-14,-18,-12,-8,-24,-18,-17,1055,1043,1043,956,1027,1023,0,0,0
2015/1/9,-11,-7,-16,-10,-12,-22,-15,1024,1035,1036,69,72,80,55,45,54,2,-12,-6,-16,-19,-14,-4,-18,-12,-21,-24,-18,1037,1055,1043,1014,956,1027,0,0,0
2015/1/10,-6,-11,-7,-16,-19,-12,-22,1035,1024,1035,69,69,72,43,55,45,-7,2,-12,-16,-16,-19,-13,-4,-18,-21,-21,-24,1039,1037,1055,1030,1014,956,0,0,0
2015/1/11,-5,-6,-11,-7,-12,-19,-12,1023,1035,1024,79,69,69,43,43,55,6,-7,2,-17,-16,-16,-6,-13,-4,-19,-21,-21,1031,1039,1037,1019,1030,1014,0,0,0
2015/1/12,-13,-5,-6,-11,-11,-12,-19,1024,1023,1035,96,79,69,47,43,43,3,6,-7,-13,-17,-16,-7,-6,-13,-14,-19,-21,1031,1031,1039,1021,1019,1030,0,0,0
2015/1/13,-12,-13,-5,-6,-17,-11,-12,1040,1024,1023,87,96,79,45,47,43,-7,3,6,-19,-13,-17,-13,-7,-6,-21,-14,-19,1044,1031,1031,1032,1021,1019,0,0,0
